Name	SRA_accession	Biosample
RE12	SRR10058942	SAMN12676355
RE13	SRR10058941	SAMN12676356
RE14	SRR10058940	SAMN12676357
RE15	SRR10058938	SAMN12676358
RE16	SRR10058937	SAMN12676359
RE17	SRR10058936	SAMN12676360
RE18	SRR10058935	SAMN12676361
RE1	SRR10058944	SAMN12676353
RE2	SRR10058933	SAMN12676363
RE3	SRR10058932	SAMN12676364
EK2.29	SRR10058924	SAMN12676264
EK3.44	SRR10058908	SAMN12676278
RE5	SRR10058931	SAMN12676365
RE8	SRR10058930	SAMN12676366
HOS48	SRR11495769	SAMN14547749
Liv24	SRR9971427	SAMN12575955
Liv26	SRR9971469	SAMN12575957
Liv48	SRR9971442	SAMN12575986
Liv89	SRR9971499	SAMN12576027